Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,HR,AR,HY,AY
11/08/2023,Almeria,Vallecano,0,2,A,2324,0,0,1,3
11/08/2023,Sevilla,Valencia,1,2,A,2324,1,0,3,2
12/08/2023,Sociedad,Girona,1,1,D,2324,0,0,2,5
12/08/2023,Las Palmas,Mallorca,1,1,D,2324,0,0,3,2
12/08/2023,Ath Bilbao,Real Madrid,0,2,A,2324,0,0,3,1
13/08/2023,Celta,Osasuna,0,2,A,2324,0,0,1,1
13/08/2023,Villarreal,Betis,1,2,A,2324,0,0,1,3
13/08/2023,Getafe,Barcelona,0,0,D,2324,1,1,8,2
14/08/2023,Cadiz,Alaves,1,0,H,2324,1,0,3,2
14/08/2023,Ath Madrid,Granada,3,1,H,2324,0,0,3,1
18/08/2023,Mallorca,Villarreal,0,1,A,2324,0,0,2,4
18/08/2023,Valencia,Las Palmas,1,0,H,2324,0,0,0,0
19/08/2023,Sociedad,Celta,1,1,D,2324,0,0,2,1
19/08/2023,Almeria,Real Madrid,1,3,A,2324,0,0,1,0
19/08/2023,Osasuna,Ath Bilbao,0,2,A,2324,1,1,1,5
20/08/2023,Girona,Getafe,3,0,H,2324,0,0,2,5
20/08/2023,Barcelona,Cadiz,2,0,H,2324,0,0,4,3
20/08/2023,Betis,Ath Madrid,0,0,D,2324,0,0,2,1
21/08/2023,Alaves,Sevilla,4,3,H,2324,0,0,1,2
21/08/2023,Granada,Vallecano,0,2,A,2324,1,0,2,1
25/08/2023,Las Palmas,Sociedad,0,0,D,2324,0,0,1,4
25/08/2023,Celta,Real Madrid,0,1,A,2324,0,0,2,3
26/08/2023,Cadiz,Almeria,1,1,D,2324,1,1,0,5
26/08/2023,Granada,Mallorca,3,2,H,2324,0,0,2,7
26/08/2023,Sevilla,Girona,1,2,A,2324,0,0,2,1
27/08/2023,Villarreal,Barcelona,3,4,A,2324,0,0,3,3
27/08/2023,Valencia,Osasuna,1,2,A,2324,0,0,3,4
27/08/2023,Ath Bilbao,Betis,4,2,H,2324,0,0,4,2
28/08/2023,Getafe,Alaves,1,0,H,2324,0,0,1,2
28/08/2023,Vallecano,Ath Madrid,0,7,A,2324,0,0,4,3
01/09/2023,Cadiz,Villarreal,3,1,H,2324,0,1,5,4
01/09/2023,Almeria,Celta,2,3,A,2324,0,0,1,1
02/09/2023,Sociedad,Granada,5,3,H,2324,0,0,1,5
02/09/2023,Real Madrid,Getafe,2,1,H,2324,0,0,2,6
02/09/2023,Alaves,Valencia,1,0,H,2324,0,0,4,2
02/09/2023,Betis,Vallecano,1,0,H,2324,0,0,3,5
03/09/2023,Girona,Las Palmas,1,0,H,2324,0,0,3,3
03/09/2023,Mallorca,Ath Bilbao,0,0,D,2324,0,0,0,1
03/09/2023,Osasuna,Barcelona,1,2,A,2324,1,0,1,3
15/09/2023,Vallecano,Alaves,2,0,H,2324,0,0,2,3
16/09/2023,Ath Bilbao,Cadiz,3,0,H,2324,0,0,1,4
16/09/2023,Valencia,Ath Madrid,3,0,H,2324,0,0,1,5
16/09/2023,Celta,Mallorca,0,1,A,2324,0,0,1,3
16/09/2023,Barcelona,Betis,5,0,H,2324,0,0,1,2
17/09/2023,Getafe,Osasuna,3,2,H,2324,0,0,6,2
17/09/2023,Villarreal,Almeria,2,1,H,2324,0,0,2,3
17/09/2023,Sevilla,Las Palmas,1,0,H,2324,0,0,3,5
17/09/2023,Real Madrid,Sociedad,2,1,H,2324,0,0,3,2
18/09/2023,Granada,Girona,2,4,A,2324,0,0,3,3
22/09/2023,Alaves,Ath Bilbao,0,2,A,2324,0,0,2,2
23/09/2023,Girona,Mallorca,5,3,H,2324,0,0,1,5
23/09/2023,Osasuna,Sevilla,0,0,D,2324,0,0,2,3
23/09/2023,Barcelona,Celta,3,2,H,2324,0,0,2,1
23/09/2023,Almeria,Valencia,2,2,D,2324,0,0,4,2
24/09/2023,Sociedad,Getafe,4,3,H,2324,0,0,3,2
24/09/2023,Vallecano,Villarreal,1,1,D,2324,0,1,2,3
24/09/2023,Betis,Cadiz,1,1,D,2324,0,0,2,3
24/09/2023,Las Palmas,Granada,1,0,H,2324,1,0,6,4
24/09/2023,Ath Madrid,Real Madrid,3,1,H,2324,0,0,1,3
26/09/2023,Sevilla,Almeria,5,1,H,2324,0,0,3,2
26/09/2023,Mallorca,Barcelona,2,2,D,2324,1,0,4,1
27/09/2023,Ath Bilbao,Getafe,2,2,D,2324,1,0,5,6
27/09/2023,Real Madrid,Las Palmas,2,0,H,2324,0,0,0,1
27/09/2023,Villarreal,Girona,1,2,A,2324,0,0,3,2
27/09/2023,Cadiz,Vallecano,0,0,D,2324,0,1,5,6
27/09/2023,Valencia,Sociedad,0,1,A,2324,1,0,4,7
28/09/2023,Celta,Alaves,1,1,D,2324,1,0,5,3
28/09/2023,Granada,Betis,1,1,D,2324,0,0,2,1
28/09/2023,Osasuna,Ath Madrid,0,2,A,2324,1,1,3,3
29/09/2023,Barcelona,Sevilla,1,0,H,2324,0,0,2,3
30/09/2023,Getafe,Villarreal,0,0,D,2324,0,1,2,4
30/09/2023,Vallecano,Mallorca,2,2,D,2324,0,0,2,5
30/09/2023,Girona,Real Madrid,0,3,A,2324,0,1,2,2
30/09/2023,Sociedad,Ath Bilbao,3,0,H,2324,0,0,2,2
01/10/2023,Almeria,Granada,3,3,D,2324,0,0,2,1
01/10/2023,Alaves,Osasuna,0,2,A,2324,1,0,2,3
01/10/2023,Ath Madrid,Cadiz,3,2,H,2324,0,0,1,3
01/10/2023,Betis,Valencia,3,0,H,2324,0,0,2,2
02/10/2023,Las Palmas,Celta,2,1,H,2324,0,0,2,1
06/10/2023,Ath Bilbao,Almeria,3,0,H,2324,0,0,2,0
07/10/2023,Cadiz,Girona,0,1,A,2324,1,0,1,3
07/10/2023,Real Madrid,Osasuna,4,0,H,2324,0,0,2,2
07/10/2023,Mallorca,Valencia,1,1,D,2324,0,0,2,1
07/10/2023,Sevilla,Vallecano,2,2,D,2324,0,0,5,2
08/10/2023,Villarreal,Las Palmas,1,2,A,2324,0,0,4,4
08/10/2023,Ath Madrid,Sociedad,2,1,H,2324,0,0,3,3
08/10/2023,Alaves,Betis,1,1,D,2324,0,1,3,3
08/10/2023,Celta,Getafe,2,2,D,2324,0,1,1,8
08/10/2023,Granada,Barcelona,2,2,D,2324,0,0,4,1
20/10/2023,Osasuna,Granada,2,0,H,2324,0,1,3,4
21/10/2023,Sociedad,Mallorca,1,0,H,2324,0,0,3,3
21/10/2023,Getafe,Betis,1,1,D,2324,0,0,5,2
21/10/2023,Sevilla,Real Madrid,1,1,D,2324,0,0,5,2
21/10/2023,Celta,Ath Madrid,0,3,A,2324,1,0,3,2
22/10/2023,Las Palmas,Vallecano,0,1,A,2324,0,1,4,3
22/10/2023,Girona,Almeria,5,2,H,2324,0,0,1,2
22/10/2023,Villarreal,Alaves,1,1,D,2324,0,0,4,3
22/10/2023,Barcelona,Ath Bilbao,1,0,H,2324,0,0,3,3
23/10/2023,Valencia,Cadiz,2,0,H,2324,0,1,0,3
27/10/2023,Girona,Celta,1,0,H,2324,0,0,3,2
28/10/2023,Almeria,Las Palmas,1,2,A,2324,0,0,3,1
28/10/2023,Barcelona,Real Madrid,1,2,A,2324,0,0,2,1
28/10/2023,Mallorca,Getafe,0,0,D,2324,0,0,0,1
28/10/2023,Cadiz,Sevilla,2,2,D,2324,0,0,6,4
29/10/2023,Betis,Osasuna,2,1,H,2324,0,0,3,4
29/10/2023,Vallecano,Sociedad,2,2,D,2324,0,0,3,2
29/10/2023,Ath Bilbao,Valencia,2,2,D,2324,0,0,3,1
29/10/2023,Ath Madrid,Alaves,2,1,H,2324,0,0,3,2
30/10/2023,Granada,Villarreal,2,3,A,2324,0,0,0,4
03/11/2023,Las Palmas,Ath Madrid,2,1,H,2324,0,0,0,3
04/11/2023,Osasuna,Girona,2,4,A,2324,0,0,5,3
04/11/2023,Betis,Mallorca,2,0,H,2324,0,1,1,4
04/11/2023,Celta,Sevilla,1,1,D,2324,1,0,2,5
04/11/2023,Sociedad,Barcelona,0,1,A,2324,0,0,3,3
05/11/2023,Alaves,Almeria,1,0,H,2324,0,0,2,3
05/11/2023,Valencia,Granada,1,0,H,2324,0,0,3,5
05/11/2023,Villarreal,Ath Bilbao,2,3,A,2324,0,0,4,4
05/11/2023,Real Madrid,Vallecano,0,0,D,2324,0,0,3,5
06/11/2023,Getafe,Cadiz,1,0,H,2324,1,0,7,1
10/11/2023,Ath Bilbao,Celta,4,3,H,2324,0,0,2,2
11/11/2023,Vallecano,Girona,1,2,A,2324,0,0,1,2
11/11/2023,Almeria,Sociedad,1,3,A,2324,0,0,2,2
11/11/2023,Granada,Getafe,1,1,D,2324,0,0,4,2
11/11/2023,Osasuna,Las Palmas,1,1,D,2324,0,0,1,1
11/11/2023,Real Madrid,Valencia,5,1,H,2324,0,0,1,3
12/11/2023,Barcelona,Alaves,2,1,H,2324,0,0,2,1
12/11/2023,Sevilla,Betis,1,1,D,2324,0,0,1,1
12/11/2023,Ath Madrid,Villarreal,3,1,H,2324,0,0,0,2
24/11/2023,Alaves,Granada,3,1,H,2324,0,0,1,3
